========================================================================================================================
PER-PROMPT LATENCY ACROSS 3 RUNS (ms)
========================================================================================================================
Model                Prompt     R1      R2      R3     Avg
 all w-b p po g a ca l as u ca w un everything pay a z everything a tr
 with an a in bu bu g u a  everything
 re the the ro gra everything dec ever. first is everything
 everything a a a dec a. w me c c bu and the first and
 ro every n with its or b looking a’ the as z- the everyone
 ( in in gra’ tur g p. a grand a past everything best —
 time R B it in past, everything under
 to back g ( ( w w PA big big big  the w brit w gra pro po

 g l l a m a gpie z- a grabath par — men a m sl  u tr always bit u

 ent — and. but m a the the, or past so mar all people ( and
 b, is in grandys a the and w in past catch in and can is past past gad
 and in drive and and he past will me to best a l me a
 a everything or back


--- P8: Search for all files matching '*.py' and also tell me the weather in P ---
  Run 1: 8 with..
The,
 during. part, part,, are. the, the, all all even, ever all all (. all all. the all, ( back M.) is everywhere -- all ( and - back the back back is 2 — long ( back ( i, old , a, st e ( e, ( ( a st st st -   a a, b with back e st sm the st
 really a, in a
 a a with back (, ( a, a with,

 old,

 the,

, all all back back ( i

 real a,
 le,
 mar la la st st st st, someone a back e express am
 a, about.,
 ter a, a, st,.. st st st st st st... am. a i a,
 un her a st,.,,.,,. about st. st, st, st a and i the i.) and st st st st and, a. un and i st st best,ps a, st the st, the, with a back, work a, and st st stps with st la g a, the her her and st far far with back st the, a the,
 all, stps a all or stuff the, to, the, to, a, is back su  un a b back famous conf conf stands  a c ca th back a,
, side l ex l l part long st a a new mar it
 with
 with long new u famous
 su the l, us the best side side st 
 a  c he, ever the i a i k mar
 a,,-,

, c the i i c c c c
 we back ( ever or or i su re igast a
 a, first m c st u c h. ab c always ( always pro
 c m even
 s always m
 big so so z ( yet big  m st c
 always the s ( always first w a cut u a world team  w
 br a8 in6 gra with8 co different  c  swe ( conf gra gra3
 not in a in as2 ( butp a ship’ a

 and mar’p in l but h with fol as’ as rot gra c al2
b from3
’ in even5 surr up
b’’ understand c2 c,w
  Run 2: 1,796.,., hard with,   with with  , with, , all with w   . they one one  . and w, all all all all ( with with all and st with all all the without with and, all others by all – and back – and so, all all ( and and all all all, and all all.
h and with -- i and K + st ex i ( and and -- and and, st a -- and, a, " --
right everyone and --
g -- -- is --s a,- a a,
d. and is a. (and and the
ep, ( ( an B big, long a st a. st, a, a a, light e, -- e e, out,
m, e ,  back, , g a e,
M for with,
 P,

,
, about — the  
 a,
 back ( in, to long, pay,
 so i we he, past st he. .
 a a a,
 just,
 a in, 

 a he.

 a.,

 red
 and — a
 and
 so,
 ( ( under care a , -- just, turn,, — to
and,, st re, a so — with with, a new in

 and,, a  with with, with part -- ent ent
 and -- with  part tr ro new,  building.
 the is a,

 a,

 a,
 a (
 the the and
 new the  a,
  a,

 (


 the


 and the

 a a

 ( (

 and the

 ( ( (
 R for (
 the in —
, and and all, and ro’ for Pl cont f ( (  decb B and’, a, +  mar ( and I, training the.. all you i mar,.... a i i back ch a . (   ent w  ( (
 and R, i (  a- ent ( more, all I big others back (. ( ent n  / / / / a real ( work (   a ( a men light the, with ( ( ( a , car) ).) top. a R with ever, the a di /
  Run 3: 1, all all part-7 and back and..,, with, em, ,,,,, and with -- with er, during with. P, and the,,,, an,,,,.,,,,,,,.,,,,,,, – the the. gra the w w tr a e e da w, e all, i – a e a the da a, with, bel,- – ( ( and stay b and all all st - all everyone – i – – everywhere – w – everyone – i -- -- everywhere everywhere – – and st – – – i -- – – everywhere – – – – – everyone – the’ – first – – all to and back – ( back, long long long.) and st - ( (  the –. P –  –,, all half st ( and the l st st and a, and -- back ( back . back people ( Lpsps ( and st and la, ( in long, and, a  st and and W and and,, with w
 and. with a with  st without. and l st st st st bo with st. g to back back in a a and st st st others with,) his, for use with, and three in three is and and a the with with and dec, and a, as and and and w or in with and and a in and and c first and and5766 and, and and and everywhere and and and w the with the eng, the the a, help a past pay the in co in she a g
 and g
 g long, the bel
  from tr P, so the  first, -, w,,  da,,, a,,, w,, (, a, +,,,, w w w w w  swe w. P b  in in, with  away a, ( in,  cl and in,, and everything a, past m N with back to  /, c a,, ,, out is ( a, g
 past ( is tr I sc c finally w a, history b we the a in8, a w br . a we a  swe ca a l  u a co d  a ent p  tr gra r th. ca the ter all “  p u the  a  the a
 the ( gmm ent st st st everything back ex he


--- P10: I have a meeting with a client in Bruges next Thursday. Should I take  ---
  Run 1: D bu for gra. tenps .,...,..,.. where - part with, part,, ex right, ex a dec, part. part all all dec. all. all. all. all. all. all (
 all all all all ( (   his. . all all all 
 ( ( -- st st - - - - - -, - - - - - - - - - - - - - / / all
 st, (
 ex cl e e, ( ( ex a perfect

- i- i, st --, --.. ex god.  i a, with,. /. (), with with / / / /, / / / / / / / (
 divine back. the,. (
 i, st,,,,,,,,,.
and ( ( ( adm 

,,,,and,,ace, la.,,,ritir, ent
 back. i in, someone the, . (
 mar. o. e well the,) the the. (. e, the.., st st st st, / e,. ( (center private h en,,, with comm de /.. w st ma,., with personal / / / /, / / / / / / / / /, ( the the st st st st)pacabs tr st st st st st,.... st st st of / / and /, /, / dec un un  but,, ( the  but back.,. ( exceed mar,,, la iron chace andachong3 of st st st st st, / / / / / / / / / / (
 day the the- ( gra en en st st st st st ( gra / / / / / / / / / / / /, / / / / / / / / / / / / / / / / / / / / / /, / / / / / / / the / is / / / / / / /, / g / out / / / / / / / / / / / / / / / /, / (e is always gra cross of a is at,m,, with /,, / / / / / / / / / /, / / / / / / / / / / / / / / / / / / / / / / / / / /
  Run 2: Par (5, af afo (E upt ex second ret allac l .
in R ( from a back back (


 fe ( real real real st w to  back...   g a

 a back

  back back back 


w.




 a back


.  back er



   back 

 e. g back.






 or, hour up with




 and long first first the

 the in,

 long ( a a something something something e something always the all in the first the part all everything everything everything everything everything, the, the everything everything everything everything everything everything everything everything everything everything everything everything everything everything everything everything everything everyone everything everything everything everything everything everything everything everything everything everything everything everything everything everything everything everything everything everything everything everything everything everything everything everything everything everything everything everything everything everything so from

 and a
 in ( ( in w first first i little i big back a e big e st bel, i first st new set. a back port w st aw. we, co tr my l five six twenty the six with big a ro two eight in fact a six a fifteen four  a six a, the a  for, men can, men could and
 with for with and or the, w and more, c  i in first, ca the or g ro ro three always use always six the th,
 always, or ( e everything him, first, first all back i six six ten twenty nine m a recent dec
 back back or, gra l w the, l m gra a and and
 i b back or g p w r gra gra w w po always always or, always or,
, ( use the, most five w, i three w w w w, w, c a back back back up w conf ro z w cl p — w- gra a back l four prime l l w back a
 back gra
 ro ( m88_2 onalitt th th on.lalap c kap6
 c

 m, or u i little l i back aali or
b the ever work always always ten a ten th an most c new back back a a pers ent wal with i
 w w w w a back or always always always or w w ipe i i roll a  and
 B w or or w a w c or for
  Run 3: Par (.,  and. a B. ( man. ( st to a partB (
 all  - from
a.. -- -- -- --
 how.

8. -- --.

,.

....


'.





.






































.










--- P11: Don't check the weather in Antwerp, just find me the quarterly report. ---
  Run 1: B someone,,,, who,.,,,,,,,,,,,,,,,,,,,. -, the, u not P. , -
 I a, ( ( P a a a-. R A ex Ch  A A -- -- f e -- -- g -- f -- (

 All All -- -- -- --. (
 P the ( En ( R R -, F, Black L-, F

 P the people,

 a in ( P R -
 . a a.

G -- back (

 u -- E

 P a long

.

.)

 ) a

 u very
 ( e. a e u. ( (. m -- all (7 -- -- --, to for back to with,

 and for,

pl the with st  always,  ex
point re, in in st P one and so
 B ret back is st ( the (
 ro ro a old.
 and, a double
 surprise and and
 with re and a re 
 ( a a.
, a, surprising all
 ( w, is the,

1ster ( fil stu the re  at re men world
and and st all. ro is wton a. (
 all and ro is we /
 half e -- un three people all with.
 (, the the. ent ( un or bel
. st un- real . a all with.... bigen on all  mar all.
 aend pay ent re.. mar with and.... all, all dec dec
 un and st  a. to mar re $) pay half dec all and,
 all her second and e from i with up a fact all b every
 un surr  all, all and all l ro the un re ex
 un and c the only dec other st piece
 all andound of mar one the 
 all part second. car first. half with her  with.
 the, with rem new s  to partake only  first ma tr right
 first all first mar second w with with. first v use use co
 but, B co, place or best all  tr the new new new is the bu

 g end in new part up a a a  best a her a a ab a a bu bu dec

 is emm a a aff a
  Run 2: B..,, cro with. ra, and B.R (BW) until, or. to, (., P the they, B B B, B, A a A, Way, A, A, A.A. and, A --B -- -- --, --, -- -- -- -- -- --, --, -- -- -- -- -- -- -- -- --. -- -- -- -- -- --,,,. ( and and st t , (
A (B), w (
B), ( ( ( a -- -- --. --,))) ( g l ro l i ( g h)) ( who. ( ( the the st ( ( w ( ( and) R a a . st st st. i P / and man a and, i i a with w a. on ig i i a. ( ( ro i a a a, back + use, ent st i st an,, g the,
 ro the the,, l l un, in. back ro a. st ent w st st st st st. l. the l l back /
. the and a in or back back so. and a the
 and and or back or and and all and st and real i i i i, i and and and and and and so a and8 so but and and so so ( and w so so) and and and and and and and so and and and and and and and and and and and and and and and and and and and and and and so and and and and and andandand and and and and andand and and and and and
 during and the, and w cl p L, the,, (, i, (,,,,,,)..,)..,..,,.,..,.,, w,
last, ( with, -, ,,,,,,,,,,,,,,,,,,, p more. P
 ( his conf a, never ch famous ca al al a al ch ca
 vis ch always pro b pay m
 g always  in 

 make PA, b use,, prov, new s
+ B in a ever,, (
,,, always, in in,
b i he pay mu, pay (
under & the

 never to a, (
p long perfect ma tr  tr ca ca p6
 tr
  Run 3: K in during, s. only.,..,., with.. the., of..,,..,.. (.,,. .,,...,,,.,..,..,,.,,. all,.,,,.,,,,,.,,,,,,,. the.
Sing,.,,.,,,,..,. the,
w,p,m,,

w,a,

w, (
D i: back. , e e  . Mo ex a e i). ch standard n be past long st st al,
. a.,  - st,,
 all, . the, ( ( " read an)), ( ( ( ( ( ( e e long e) v), ( ( ( ( ag e
) ( ( ( ag - ( ) i)) () ) ( i )) ( ( ( l, ( ( R l ( ( st st,. ( ( ex e l ro, i)),) ex,

 ( a l,,,,,,,,,,,,,,, o, a all,

 l. a with,,,,,,,, o.), and st. to.. the).
 ( ( the i, st) st st, ( ( ( ( ( st P a w
 ( is,,,,,,,,,,,. & all e e sur E B st  B
pl ex  from , . B st ent ,)) ( w 



--- P12: The weather in Antwerp is 8°C and rainy. Should I schedule an indoor m ---
  Run 1: , with with a, a a, K (S ro B B B B b) B e e always I, R B B B B ( ex e ( ex - L ( ex  ( -) all.
.. bel -- the a -- (
b the and.
6 a

_ (

) - / or

 a (

s -- l

 (


 -- --

).)

 a ---


 .

  e. long

 a

 a,

 (

PL

 a the

 (

 a..

 -- st

 a part


 long

 u si

 a, st  someone and part st something a cal ro on— and st  a in we a u u_ back a part a st (

  you. al a past a volume about, use the fact c. a,

 ( back ( c ca.  stval V

wus,rest7,,val.1........-.
 ( (c2m1.as)s.old..valvalac. feodianitt.objectiac2214both of

 the6 (hlpp5566apsound aod i5 l types at Cont7mod.b an andbeold4,toetrepIpsosBand25pc) people (b5s iweet)) bel entend) things () l wh i c i u big fol8 st is and of ib m -- and st big partake su ( (end em contract553. () the equalan.more. much ( (restrest856888ap56448,,,sim --,swnewall“lps4psps,am-gai,g5.loembs6 h,ta,,,a-2,,p-,,,phpar, h.wym8,, the c, the, and52, or c in62/4 c of and of ca c and and c-if his as n andc c highest, and best new, s -- you we we as i that c gong third second of g prom the we s with z alfster36onashlp
  Run 2:  Ha (.,, imm Dr Dr big a R move c -- c m a c m eP and a a a B B B B a B, a a.
 a S
B -- -- --
B an e in
PL R a no B in all conf,
8 (’ in er. P a the.
Bar ( and B ma n B).B.) and... all.W B” H decl. the N. a,

K and. of a,w,
 and. a a and
 Passi6 G. the and 28888 and. g part Ch . P.Ww V868766STastWPLG  aq. As
 ElementW ScW, story special and. with others.akV.A,T (g)M block. G late. Men,T say say all st  part and - e ex-,-,  P
.... P P R (g  -- -- Al3816a  L percent -g- --))
G long T bel ar 2,b or or  native e (,ize waiting to (b)pp2 ( ())))) (
A, Le B B R (
ro ( L E M  ) ( ( L ) )) P -- -- M M T Part Part Part super B B  away R beyond under B and long-A  B c P ( ( B a ) ) ( ( B ( big ( E ) ) ) a& (, ( -- ( e equal the )- ())” a, ( () ( w percent big. More all ( ( back back so the), B ( men. () mo g85. wh le le,  B ( a e  mean st st st-)) cost ( a B e  short ( a the
 one bel 8 throughout all and masteros training all the.. the is (
 8 first men, byait big. st a. and  and. with.)and. grasp and and ( of course extra of st more,) away women and, st e withm and with, and women women present and and with a car and women with st ( bel and ro a over st) and and a., and g and and one B their end people
  Run 3: a, with,,,,,,,,,:b, back men, back ex everywhere.h day short, (b la ( st T imm c c )

.,, g day a lot others (, long a, ba....a,g.g.g.g.g.g.g,
g.

W and big big big and of big big big men big andB bigB
B big big big bigSI666 st

ST the    the  long long personal14356 longym2 forever g4 more9
  stale story
N st late
Ac so a
Ac all (
 c the long c short1p p i the  ex e af
 the i c u mar 
 i i. bel w%  bel. bel  st st.  the equal st bel),
  long,
 under the for f he bu late were a non b her work short c l su ( c u). with om with short short ( neg m5 back st bel to.— — a b a in—2 u a b a po backback port portach back tr and l every everywhere everywhere the —22 tob a with —
po to ( in— one short, gaz to st big a — prob a to — — excich the a my of a
— because— u the — no my— and the
b the u so c the about —1- units — in everything ( everything the everywhere everywhere everywhere. ( a lafic c c c the— for c a a —
 c in a — — — — — big— bel — the — —wh — — — — — — — — — —————— — — — — — — — — ———— — the- the but in to c w back — s a at— with isom the —h of back in twenty, thirty everything everything everywhere everywhere to in a every — — — —, we the a the  — with with c — a the back in c is back for everything the the reading a in back the — — everything everywhere we — the— a — — — — — — — — — — — — — —— — — —— — —— — — — — — the —8 mut in prime, and, — —— to at d pay pay to 

